PERSON_ID,NAME,ROLE,LEGAL_STATUS,ORGANIZATION,AFFILIATION,DETAILS
PER-001,Harry Sidhu,Former Mayor of Anaheim,Convicted Felon (8:23-cr-00108-CJC),City of Anaheim,RICO-001,Pled guilty to wire fraud and obstruction of justice in $1M campaign bribery / stadium deal.
PER-002,Todd Ament,Former CEO Anaheim Chamber,Convicted Felon (8:22-cr-00078-CJC),Anaheim Chamber of Commerce / TA Group LLC,RICO-001 / RICO-003,"Pled guilty to wire fraud, tax evasion, and mortgage fraud; routed public funds to private accounts."
PER-003,Melahat Rafiei,Political Strategist / Consultant,Convicted Felon (8:23-cr-00009-CJC),Progressive Solutions Consulting,RICO-004,Pled guilty to wire fraud involving cannabis licensing bribery in Irvine and conduit campaign payments.
PER-004,Jeffrey Flint,Senior Political Strategist / Lobbyist,Unindicted Co-Conspirator,FPS Strategies LLC,RICO-001 / RICO-004,Named in federal filings as ringleader of the shadow cabal controlling municipal policy and elections.
PER-005,"Arden Hoang, Esq.",Eviction Attorney,Civil RICO Defendant,"Wallace, Richardson, Sontag & Le LLP",RICO-002,Prosecuted fraudulent unlawful detainer defaults and executed midnight judge-striking maneuvers.
PER-006,"Richard S. Sontag, Esq.",Managing Partner,Civil RICO Defendant,"Wallace, Richardson, Sontag & Le LLP",RICO-002,Supervised unlawful detainer eviction mill operations across Orange County CJC.
PER-007,Austin Drissen,Shelter Operations Lead,Target of Investigation,Mercy House Living Centers,RICO-005,"Coordinated Cameron Lane facility pack-outs, client property seizures, and toxic site operation."
PER-008,Vichal Nunen,Property Manager,Civil RICO Defendant,Woodbridge Meadows Apartments LLC,RICO-002,Executed retaliatory notice of termination following tenant reporting of municipal grant irregularities.
PER-009,Anthony DiMarcello,Relator / Tenant-Whistleblower,Relator / Plaintiff,N/A,Victim / Whistleblower,Uncovered municipal/shelter grant diversions; subjected to unlawful shadow lockout and retaliation.
PER-010,Robert F. Greenglass,Nonprofit Executive & Broker,Target of Investigation,HOMI / Greenglass Associates,RICO-003,"Managed tax-exempt conduit HOMI and executed $1.2M property transaction at 8 Lakeview, Irvine."
