"Timestamp","Category","Target","Detail","Source","LegalNote"
"2026-05-14 10:52:00","Signatory","Oliver Chi","Authorized 'Purchase Credit' for toxic site acquisition.","Reso 2021-26","Proves knowledge of toxins at inception."
"2026-05-14 10:52:00","Operational","Mercy House","Mandated 'Enhanced Cleanliness' under 2025 budget cuts.","File 25-467","Likely cause of high-pressure washing/cap erosion."
"2026-05-14 10:52:00","Evidence","City Auditors","Required 'Visual Verification' of janitorial tasks.","Section 4.2 Contract","Compliance photos may document cap destruction."
"2026-05-14 10:52:51","Operational","Mercy House","Contractually mandated 'Enhanced Cleanliness' and daily janitorial logs.","File 25-467","Pressure washing logs serve as evidence of cap destruction."
"2026-05-14 10:52:51","Regulatory","OCHCA","Conditioned site safety on an INTACT asphalt pavement cover.","2020 OCHCA Letter","City's cleaning mandate contradicts safety certification."
"2026-05-14 10:55:06","Operational","Mercy House","Contractually mandated 'Enhanced Cleanliness' and daily janitorial logs.","File 25-467","Pressure washing logs serve as evidence of cap destruction."
"2026-05-14 10:55:06","Regulatory","OCHCA","Conditioned site safety on an INTACT asphalt pavement cover.","2020 OCHCA Letter","City's cleaning mandate contradicts safety certification."
"2026-05-14 10:59:27","Neighbor Report","Social Media (2020)","Complaints of 'smell like bodies' and fainting at site ceremony.","FB HB Community Archives","Possible evidence of early plume aerosolization."
"2026-05-14 10:59:27","Civil Rights","Good Neighbor Policy (GNP)","Restricting movement of disabled/elderly without clinical licensure.","Contract A-8194","Argued as false imprisonment to maintain 'crisis' funding."
"2026-05-14 10:59:28","Medical Coding","Ambulance/EMS","Coding HBNC as a 'Clinic' to justify medical transport.","HCPCS/EMS Logs","Falsified facility status to bypass movement laws."
"2026-05-14 11:01:24","Political Legacy","Jesse Knabb / Local Politics","Plaintiff connected to local heritage; litigation exposes legacy political families.","Internal Observation","Strategic selection to prevent 'burial' of the case."
"2026-05-14 11:01:24","Medical Fraud","EMS / Ambulance System","HBNC coded as 'Clinic' in EMS logs to justify restricted movement.","HBFD Dispatch Logs (Pending)","Evidence of false imprisonment via misclassification."
"2026-05-14 11:01:24","State Funding","Billions to State","Crisis manufactured through restricted movement and fake court cases.","CA Homeless Budget 2026","Proves financial motive for maintaining occupancy."
"2026-05-14 11:02:57","Political Legacy","Jesse Knabb / Local Politics","Plaintiff connected to local heritage; litigation exposes legacy political families.","Internal Observation","Strategic selection to prevent 'burial' of the case."
"2026-05-14 11:02:57","Medical Fraud","EMS / Ambulance System","HBNC coded as 'Clinic' in EMS logs to justify restricted movement.","HBFD Dispatch Logs (Pending)","Evidence of false imprisonment via misclassification."
