LEG_ID,STATUTE,SHORT_NAME,SUBJECT_ENTITY_IDS,VIOLATION_DESCRIPTION,MAX_PENALTY,CASE_STATUS,COURT_VENUE,FILING_DATE,SOURCE_DOC,SOURCE_PAGE,NOTES
LEG-001,42 USC 6972(a)(1)(B),RCRA Citizen Suit,GOV-001;GOV-007;CON-002,Imminent and substantial endangerment from Cr-VI contamination at HBNC site,"Injunctive relief; civil penalties $70,117/day",Active - Filed,US District Court CD CA,2024-01-01,Knabb v. HB RCRA Complaint,p.1,
LEG-002,18 USC 1962(c),RICO - Enterprise,GOV-001;PER-003;PER-004;PER-008;PER-009;PER-010,Conducting affairs of enterprise through pattern of racketeering activity,20 years + treble damages,Anticipated,US District Court CD CA,,RICO Matrix,§1,
LEG-003,18 USC 1962(d),RICO - Conspiracy,GOV-001;SHL-001;SHL-002;NP-001;NP-002,Conspiracy to conduct RICO enterprise,20 years + treble damages,Anticipated,US District Court CD CA,,RICO Matrix,§1,
LEG-004,42 USC 1983,Civil Rights,GOV-002;PER-004;PER-003,Deprivation of constitutional rights under color of law; retaliation; warrantless surveillance,Compensatory + punitive damages,Anticipated,US District Court CD CA,,Whistleblower Dossier,§9,
LEG-005,18 USC 1341,Mail Fraud,PER-003;NP-001;NP-002;SHL-001;GOV-009,Fraudulent grant applications and disbursements via US mail,20 years per count,Anticipated,US District Court,,Whistleblower Dossier,§6,
LEG-006,18 USC 1343,Wire Fraud,PER-003;NP-001;NP-002;SHL-001,Wire communications in furtherance of fraud scheme,20 years per count,Anticipated,US District Court,,Whistleblower Dossier,§6,
LEG-007,42 USC 9601 et seq,CERCLA,GOV-007;GOV-001;CON-002,Failure to remediate NPL-qualifying contamination; concealment of PRP status,Cleanup costs; treble damages,Anticipated,US District Court / EPA Admin,,HBNC Toxic Site HTML,§CERCLA,
LEG-008,Cal Health & Safety Code 25300,Hazardous Waste Control,GOV-001;GOV-008;CON-002,State hazardous waste law violations at HBNC site,Civil and criminal penalties,Anticipated,OC Superior Court,,HBNC Toxic Site HTML,§Regulatory,
LEG-009,Cal Labor Code 1102.5,Whistleblower Protection,GOV-001;PER-003;PER-004,Retaliation against whistleblower plaintiff,Reinstatement; back pay; punitive damages,Anticipated,CA Superior Court,,Whistleblower Dossier,§4,
LEG-010,18 USC 1519,Obstruction - Documents,PER-003;PER-008;GOV-001,Withholding and destruction of public records responsive to PRA requests,20 years,Anticipated,US District Court,,Whistleblower Dossier,§10,
LEG-011,18 USC 1956,Money Laundering,SHL-001;SHL-002;NP-001;NP-002,Concealment of grant proceeds through shell entities,20 years; forfeiture,Anticipated,US District Court,,RICO Matrix,§6,
LEG-012,18 USC 666,Federal Program Fraud,GOV-001;NP-001;NP-002,"Theft/fraud involving federal grant funds over $5,000",10 years,Anticipated,US District Court,,Whistleblower Dossier,§6,
LEG-013,Cal Gov Code 6250,Public Records Act,GOV-001;PER-003,Improper withholding of public records,Injunctive relief; attorney fees,Active,OC Superior Court,2024-01-01,Whistleblower Dossier,§10,
LEG-014,Cal Penal Code 182,Criminal Conspiracy,PER-003;PER-004;PER-008;PER-009,Conspiracy to commit fraud and obstruction,Up to 3 years state prison,Referral pending,OC Superior Court,,RICO Matrix,§7,
LEG-015,18 USC 371,Federal Conspiracy,PER-003;PER-004;PER-008;GOV-001,Conspiracy to defraud the United States (HUD grants),5 years,Anticipated,US District Court,,Whistleblower Dossier,§6,
LEG-016,Cal Gov Code 81000,FPPC / Campaign Finance,PER-009;PER-010;PER-011;SHL-003,Unreported and improper campaign contributions,"Civil fines up to $5,000/violation",Referral pending,CA FPPC,,RICO Matrix,§5,
LEG-017,26 USC 7201,Tax Evasion,SHL-001;SHL-002;NP-001,Tax fraud on grant proceeds laundered through entities,Up to 5 years,Referral pending,US District Court,,RICO Matrix,§6,
LEG-018,29 USC 651,OSHA,GOV-001;CON-002,Failure to disclose occupational Cr-VI exposure to HBNC workers,Civil penalties,Referral pending,OSHA Admin,,HBNC Toxic Site HTML,§Safety,
LEG-019,Cal Penal Code 637.7,GPS Tracking,PER-004;GOV-002,Warrantless GPS tracker on plaintiff vehicle,1 year county jail,Referral pending,OC Superior Court,,Whistleblower Dossier,§4,
LEG-020,18 USC 1952,Travel Act,PER-009;PER-010;SHL-003;PER-026,Interstate travel/communications to facilitate bribery/fraud,5 years,Anticipated,US District Court,,RICO Matrix,§5,
LEG-021,UNLAWFUL DETAINER - RESIDENTIAL,WOODBRIDGE MEADOWS APARTMENTS LLC VS. ANTHONY DIMARCELLO,,UNLAWFUL DETAINER - RESIDENTIAL,,DISPOSED WITH DISPOSITION OF DEFAULT JUDGMENT BY COURT,Central Justice Center,05/18/2021,dimarcello eviction Civil Case Access - Print Case Information.pdf,,Case Id: 30-2021-01201327-CL-UD-CJC
