address,lat,lng,layer,label,entity,value,year
"17642 Beach Blvd, Huntington Beach CA 92647",33.6775,-118.0012,TOXIC_SITE,HBNC Navigation Center Site,Mercy House / Surf City Navigation Center,$155M COC funding,2023
"17631 Cameron Ln, Huntington Beach CA 92647",33.6770,-118.0015,TOXIC_SITE,HBNC Asphalt Cap Failure,,Cr-VI 49x EPA limit,2022
"7561 Center Ave #J1, Huntington Beach CA 92647",33.6927,-117.9974,SHELL_LLC,Dylan & Andrew Holdings LLC,Dylan & Andrew Holdings LLC,$725K transfer,2022
"7561 Center Ave #E1, Huntington Beach CA 92647",33.6927,-117.9974,SHELL_LLC,KRS Werks LLC,KRS Werks LLC,$825K transfer,2023
"7561 Center Ave #D1, Huntington Beach CA 92647",33.6927,-117.9974,SHELL_LLC,Brown Hubert LLC (Chen),Brown Hubert LLC,$0 transfer,2016
"7561 Center Ave #G3, Huntington Beach CA 92647",33.6927,-117.9974,SHELL_LLC,Freedman Enterprises LLC,Freedman Enterprises LLC,$0 transfer,2009
"7100 Cerritos Ave #108, Stanton CA 90680",33.8080,-118.0020,SHELL_LLC,CP Premier Capital LLC (Peter Pham),CP Premier Capital LLC,$0 quitclaim,2010
"13801 Shirley St #85, Garden Grove CA 92843",33.7740,-117.9870,SHELL_LLC,CP Premier Capital LLC (Peter Pham),CP Premier Capital LLC,$0 quitclaim,2010
"2614 Orchard Dr, Tustin CA 92782",33.7450,-117.8120,RESIDENCE,Pham Personal Residence,Peter Pham & Cynthia Chau,,,
"3311 Bounty Cir, Seal Beach CA 90740",33.7530,-118.0720,SHELL_LLC,Stewart Industries LLC,Stewart Industries LLC,$0 transfer,2021
"1077 Pacific Coast Hwy #247, Seal Beach CA 90740",33.7500,-118.0950,CMRA,Mailbox Drop (Stewart Industries),CMRA mailbox,S&L era routing,,
"21951 Brookhurst St, Fountain Valley CA 92708",33.7070,-117.9580,SHELL_LLC,Triumvirate LLC,Triumvirate LLC,$2.8M sale,2021
"15822 Garnet St, Westminster CA 92683",33.7530,-117.9900,MAIL_DROP,Garnet St Mailbox (Dylan & Andrew),Dylan & Andrew Holdings LLC,$725K linked,2022
"2000 Main St, Huntington Beach CA 92648",33.6760,-118.0015,GOVERNMENT,HB City Hall,City of Huntington Beach,COC contract authority,,
"El Toro MCAS Great Park, Irvine CA 92618",33.6750,-117.7300,MILITARY,Irvine Hangars (contaminated fill disposal),El Toro Marine Corps Air Station,Decommissioned 1999,,
"11200 Nimitz Rd, Los Alamitos CA 90720",33.8000,-118.0500,MILITARY,NAS Los Alamitos,Navy base,EPA CERCLA responsible party,,
"300 N Flower St, Santa Ana CA 92703",33.7450,-117.8700,GOVERNMENT,OC District Attorney,Todd Spitzer,referred no action,2026
"411 W 4th St, Santa Ana CA 92701",33.7480,-117.8700,COURT,US District Court CD California,Knabb v. HB venue,RICO/toxic tort,2026
"1001 I St, Sacramento CA 95814",38.5800,-121.4950,GOVERNMENT,CalEPA / DTSC / Water Board,State regulatory,oversight failure,,
"11000 Wilshire Blvd, Los Angeles CA 90024",34.0530,-118.4500,GOVERNMENT,FBI LA Field Office,RICO referral,potential,2026
"75 Hawthorne St, San Francisco CA 94105",37.7850,-122.3950,GOVERNMENT,US EPA Region 9,RCRA enforcement,Knabb complaint,2026
"600 Harrison St, San Francisco CA 94107",37.7820,-122.3950,GOVERNMENT,HUD Region IX,grant administrator,fraud nexus,2026
"300 Capitol Mall, Sacramento CA 95814",38.5790,-121.5000,GOVERNMENT,CA State Controller,unclaimed property custodian,$5.5B unclaimed,,
"1409 Priscilla Ln, Newport Beach CA 92660",33.6300,-117.9000,RESIDENCE,Priscilla Plans,Agustin project,associated location,,
"20351 Irvine Ave, Newport Beach CA 92660",33.6500,-117.8900,SHELL_LLC,CSJ Management / Irvine Ave LLC,Newport Beach shell cluster,multiple LLCs,,
"9874 Raritan Ave, Fountain Valley CA 92708",33.7000,-117.9600,RESIDENCE,Triumvirate LLC mail address,Triumvirate LLC,$2.8M property,2021
"13337 South St #683, Cerritos CA 90703",33.8580,-118.0500,MAIL_DROP,KRS Werks LLC mailbox,KRS Werks LLC,$825K linked,2023
"PO Box 531604, Henderson NV 89053",36.0300,-114.9800,MAIL_DROP,Brown Hubert LLC (out of state),Brown Hubert LLC,$0 transfer,2016
"19295 Woodlands Dr, Huntington Beach CA 92648",33.6850,-118.0200,RESIDENCE,Freedman Enterprises mail,Freedman Enterprises LLC,$0 transfer,2009
"21951 Brookhurst St, Fountain Valley CA 92708",33.7070,-117.9580,SHELL_LLC,Triumvirate LLC property,Triumvirate LLC,$2.8M,2021
