City Name,IRC Report Years Available,Windows NT / Legacy Server Lineage,Data Systems Grade,IT Capital Deficit,Annual IT Spent / Budget,Annual Available Capital Capacity,Backup Latency Window,Antivirus / Security Posture,Public IP / WAF Exposure,GIS & Records Platform,Primary Tax Funding Source
City of Huntington Beach,"2000 (IAC), 2024 (IRC)","YES (Legacy 2000s Windows Server / IIS On-Premise Rack)","Grade C (Mediocre / Lacks Redundancy)","$21,000,000 Deficit","~$4,000,000 / Year (Routine Maintenance)","~$8,000,000 / Year (Unallocated CIP Capacity)","Multi-Day Latency (Local Disk/Tape)",Basic Host Antivirus / Legacy Agents,"Direct Public Subnet 192.5.222.0/24 (Zero WAF on ArcGIS/Laserfiche)",Self-Hosted ArcGIS (192.5.222.153) & Laserfiche (192.5.222.218),Measure FF (15% General Fund Charter Lock)
County of Orange (Central),"2016 (ASCE OC), 2021 (OCBC)","PARTIAL (Enterprise Countywide Datacenter)","Grade C+ (Regional Infrastructure Gap)","$18,000,000 Deficit","~$42,000,000 / Year","~$35,000,000 / Year","Sub-Hour Enterprise DR Snapshots",Managed Enterprise EDR + F5 WAF,County Gateway 159.111.146.166,County GIS & Enterprise EDMS,County General Fund & Regional CIP
City of Atlanta,"2021 (Georgia ASCE)","PARTIAL (Post-Ransomware Hybrid Recovery)","Grade B (Rebuilding Cloud Infrastructure)","$16,000,000 Deficit","~$45,000,000 / Year","~$38,000,000 / Year","Continuous Automated Cloud Snapshots",Enterprise XDR + 24/7 Managed SOC,Cloudflare / AWS GovCloud Edge,ArcGIS Enterprise Cloud & Accela SaaS,City Infrastructure Bond Fund
City of Dallas,"2021 (Texas ASCE)","PARTIAL (Hybrid Municipal Datacenter)","Grade B- (High Deferred Maintenance)","$15,000,000 Deficit","~$48,000,000 / Year","~$40,000,000 / Year","Daily Automated Cloud DR Snapshots",Managed EDR + Hardware Token MFA,Direct Gateway 66.97.145.114 (Edge Filtered),ArcGIS Enterprise & OpenGov SaaS,City Capital Bond Program
City of Columbus,"2021 (Ohio ASCE)","PARTIAL (Azure GovCloud Post-Breach)","Grade B (Cloud Re-platforming)","$14,000,000 Deficit","~$35,000,000 / Year","~$28,000,000 / Year","Automated Multi-Region Cloud Sync",Enterprise EDR + Active SOC Monitoring,Azure Portal 52.247.170.120,ArcGIS Cloud & Accela Cloud,City Capital Improvement Budget
City of Los Angeles (LAPD/City),"2019 (CA ASCE), 2025 (State)","NO (Enterprise Multi-Cloud Architecture)","Grade B+ (Large Scale Operations)","$12,000,000 Deficit","~$85,000,000 / Year","~$70,000,000 / Year","Continuous Multi-Region Replication",Managed XDR + 24/7 Threat Hunting,Akamai Edge 23.1.33.17,ArcGIS Enterprise & Enterprise EDMS,City General Fund & Measure M
City of Long Beach,"2016 (ASCE OC/LA), 2021 (LA ASCE)","YES (Legacy IIS/8.5 Server Environment)","Grade C (Aging Municipal Datacenter)","$9,000,000 Deficit","~$22,000,000 / Year","~$16,000,000 / Year","24-Hour Backup Cycles (Local NAS)",Standard Host Antivirus + Perimeter Firewall,Exposed IP 204.108.16.117 (Banner Leak),ArcGIS Server & Laserfiche WebLink,Measure A (1% Sales Tax CIP)
City of Westminster,"2016 (ASCE OC), 2021 (OCBC)","YES (Legacy On-Premise Windows / Server 2012 Legacy)","Grade D+ (High Deferred Maintenance)","$8,500,000 Deficit","~$2,900,000 / Year","~$1,800,000 / Year","Multi-Day Backup Cycles (On-Premises Disk/Tape)",Legacy Antivirus Software Agents,Exposed Gateway 209.232.148.77 (Minimal WAF),Legacy ArcIMS/ArcGIS & Laserfiche,Measure Y (Sales Tax Infrastructure Fund)
Pima County Sheriff (Tucson),"2020 (Arizona ASCE)","YES (On-Premise Public ASN Exposure)","Grade C- (Legacy Public Safety Infrastructure)","$7,200,000 Deficit","~$11,000,000 / Year","~$8,500,000 / Year","Multi-Day Offsite Tape Backup Latency",Host Antivirus + Network Firewall,Direct ASN Gateway 198.245.x.x (Split Edge),Spillman CAD & Public Safety EDMS,County Justice & Public Safety Fund
City of St. Paul,"2022 (Minnesota ASCE)","PARTIAL (AWS Cloud Infrastructure)","Grade B- (Ransomware Recovery Backlog)","$6,500,000 Deficit","~$16,000,000 / Year","~$12,000,000 / Year","Automated Cloud DR Replication",Managed EDR + MFA Deployment,AWS Cloud Edge 54.165.146.83,ArcGIS Enterprise & Infor Public Sector,City Capital Improvement Fund
City of Santa Monica,"2019 (CA ASCE)","YES (On-Premise Legacy Database Host)","Grade C (Exposed Municipal Servers)","$6,500,000 Deficit","~$7,500,000 / Year","~$5,000,000 / Year","24-48 Hour Backup Cycles",Host Antivirus + Border Router,Direct IP 45.223.97.122 (Unshielded Host),ArcGIS Server & Tyler Munis ERP,Municipal General Fund CIP
City of Garden Grove,"2016 (ASCE OC), 2021 (OCBC)","PARTIAL (Transitioning Hybrid Cloud Model)","Grade B- (In-Progress Upgrade)","$6,000,000 Deficit","~$5,100,000 / Year","~$4,500,000 / Year","Daily Automated Cloud Backups (RTO < 24 Hrs)",Managed EDR + Multi-Factor Authentication,Cloud-Proxied Edge (Cloudflare 104.21.38.192),ArcGIS Enterprise & Laserfiche Hybrid,Measure O Infrastructure Allocation
City of Wichita,"2021 (Kansas ASCE)","YES (Unprotected Web Hosting Architecture)","Grade C- (Cyber Disruption Backlog)","$5,800,000 Deficit","~$12,000,000 / Year","~$9,000,000 / Year","Local Disk SAN Backup Array",Basic Host Antivirus,Direct IP 8.14.206.137 (.git exposed),ArcGIS Server & Accela Cloud,City General Fund CIP
City of Fountain Valley,"2016 (ASCE OC), 2021 (OCBC)","YES (Legacy Municipal On-Premise Server Model)","Grade C+ (Fair / Needs Modernization)","$5,200,000 Deficit","~$2,800,000 / Year","~$2,500,000 / Year","24-48 Hour Backup Cycles (On-Prem Tape/NAS)",Standard Endpoint Antivirus,Direct Gateway Subnet 198.245.188.42,Self-Hosted GIS & Laserfiche Records,General Fund / Measure HH CIP Allocation
City of Fullerton,"2016 (ASCE OC), 2021 (OCBC)","PARTIAL (Hybrid Gateway / Datacenter Environment)","Grade B- (Needs Lifecycle Upgrade)","$5,000,000 Deficit","~$4,200,000 / Year","~$3,500,000 / Year","Daily Automated Snapshots",SonicWall WAF + Host Antivirus,Gateway 198.1.122.95 (Liquid Web),ArcGIS Enterprise & Laserfiche,General Fund Capital Allocation
City of Indio (Coachella Valley),"2020 (Riverside County IRC)","PARTIAL (Modernized Regional Hub Model)","Grade B (Stable)","$4,500,000 Deficit","~$3,200,000 / Year","~$2,800,000 / Year","Nightly Automated Cloud Snapshots (RTO < 12 Hrs)",Enterprise EDR + Active MFA,Cloud-Proxied Edge (Cloudflare 104.18.32.88),ArcGIS Online & Tyler Technologies SaaS,Measure X (Capital Improvement Fund)
City of Santa Ana,"2016 (ASCE OC), 2021 (OCBC)","PARTIAL (Managed GovCloud Datacenter Portal)","Grade B (Stable Municipal Operations)","$4,200,000 Deficit","~$8,900,000 / Year","~$7,500,000 / Year","Daily Automated Cloud Snapshots",Managed Cloud Security + EDR,Gateway 209.232.149.12 (Granicus Cloud),OpenGov & ArcGIS Cloud Portal,General Fund CIP Allocation
City of Anaheim,"2016 (ASCE OC), 2021 (OCBC)","NO (Enterprise Multi-Cloud / Tier-3 Datacenter)","Grade A- (Advanced Enterprise Systems)","$4,000,000 Deficit","~$18,500,000 / Year","~$15,000,000 / Year","Continuous Real-Time Disaster Recovery Sync",Enterprise XDR + 24/7 Managed SOC,Full Multi-Layer Cloud WAF (Akamai 205.155.228.34),ArcGIS Enterprise Cloud & Accela / OpenGov,General Fund / Utility Enterprise Funds
City of Tustin,"2016 (ASCE OC), 2021 (OCBC)","YES (Shared Infrastructure Node)","Grade C (Aging Network Architecture)","$4,000,000 Deficit","~$3,800,000 / Year","~$3,000,000 / Year","24-Hour Backup Window",Standard Antivirus + Firewall,Shared Host IP 188.214.128.77,ArcGIS Online & Laserfiche On-Prem,General Fund CIP Allocation
