RICO_ID,NODE_NAME,NODE_TYPE,ROLE_IN_ENTERPRISE,PREDICATE_ACTS,CONNECTED_NODE_IDS,EVIDENCE_IDS,STATUTE,SOURCE_DOC,SOURCE_PAGE,QUOTE_SNIPPET,NOTES,LAST_UPDATED
RICO-001,City of Huntington Beach,Enterprise Hub,"Central racketeering enterprise; controls funds, contracts, police, legal",Mail fraud; wire fraud; obstruction; conspiracy,RICO-002;RICO-003;RICO-004;RICO-005,EV-002;EV-003;EV-008;EV-011,18 USC 1962(c),RICO Matrix,§1,The City constitutes the RICO enterprise through which defendants conduct affairs...,,
RICO-002,City Official Network,Individual Participants,PER-003;PER-004;PER-008 conduct enterprise affairs,Obstruction; witness tampering; mail/wire fraud,RICO-001;RICO-003,EV-003;EV-009;EV-016,18 USC 1962(c),RICO Matrix,§2,,,
RICO-003,Grant Fraud Network,Financial Arm,NP-001;NP-002;SHL-001;SHL-002 laundering HUD funds,Mail fraud; wire fraud; money laundering; federal program fraud,RICO-001;RICO-004,EV-007;EV-015;EV-019,18 USC 1962(c); 18 USC 1956,RICO Matrix,§3,,,
RICO-004,Political Corruption Ring,Political Arm,PER-009 through PER-013 vote to approve; SHL-003/PAC fund campaigns,Bribery; Travel Act; campaign finance violations,RICO-001;RICO-002;RICO-005,EV-008;EV-010;EV-015,18 USC 1952; 18 USC 201,RICO Matrix,§4,,,
RICO-005,Toxic Site Cover-Up Conspiracy,Cover-Up Arm,GOV-001;GOV-002;CON-002 suppress contamination; retaliate against whistleblower,Obstruction of justice; witness tampering; environmental fraud,RICO-001;RICO-002,EV-001;EV-006;EV-013;EV-018,18 USC 1519; 18 USC 1512,RICO Matrix,§5,,,
RICO-008,Controlled Plaintiff Node,Information Theft / Witness Tampering,Protection of Enterprise Hub through 'controlled' litigation and technicalities,Witness tampering; Theft of trade secrets; Obstruction of Justice,RICO-001;RICO-005,EV-029;EV-030,18 USC 1512; 18 USC 1962,Master Narrative,,Naming Yamada separately from County proves lack of original information.,Node created by information theft from Relator at HBNC by PER-050.,2026-06-29T00:00:00+00:00
RICO-009,Texas Hub,Grant Diversion / Capital Routing,Principal office of Aloha Financial used to route diverted funds.,Procurement Fraud; Capital Routing,RICO-001;RICO-005,EV-030;EV-037,18 USC 1343,LightBox True Owner,Texas,Dallas office identified as core routing node.,Pipeline node,2026-06-29T00:00:00+00:00
RICO-010,Delaware Layer,Anonymous Entity Formation,Utilization of Greenfield Realty LLC for anonymous asset layering.,RE Laundering; Layering,RICO-001;RICO-009,EV-005;EV-030,18 USC 1956,OpenCorporates,Delaware,Structuring node for extraction pipeline.,Pipeline node,2026-06-29T00:00:00+00:00
RICO-011,Nevada Anchor,Asset Sequestration,Sequestration of California assets into Nevada shell companies.,Asset Anchoring; Evasion,RICO-001;RICO-010,EV-017;EV-030,18 USC 1962,Master Index,Nevada,SHL-001 to 004 used to anchor extracted capital.,Pipeline node,2026-06-29T00:00:00+00:00
RICO-012,Historical Substitution Node,Identity Theft / Public Fund Extraction,Substitution of Yamada family for Furuta family to legitimize extraction.,Fraud; Theft of Identity; RICO Predicate,RICO-001;RICO-005,EV-031;EV-037;EV-038,18 USC 1028,USGS/National Archives,California,City paid $3.1M to Yamada using a false historical victim narrative.,Wintersburg node,2026-06-29T00:00:00+00:00
RICO-013,Human Testing / Industrial Pattern,National Security Breach / Environmental Fraud,Linkage between McDonnell Douglas testing and Cr-VI breach.,Environmental Fraud; Obstruction,RICO-001;RICO-005,EV-035;EV-036,National Security Act,CIA FOIA Reading Room,California,Historical pattern of institutional suppression in HB.,Pattern node,2026-06-29T00:00:00+00:00
