node_id,node_type,node_name,layer,connected_to,connection_type,evidence_ref,ppp_total,risk_level,docket_number,notes
EVID_TRAFFICKING,EVIDENCE,$512M+ COVID Child Welfare Fraud,CPS_PIPELINE,"['MERCY-001', 'OCSSA']",['EVIDENCE_OF'],MSG:19e58a7319030f45; KABC-TV tip; Voice of OC investigation,,CRITICAL,,CARES Act fraud involving child welfare trafficking network; tips to KABC-TV and LAist May 2026
EVID_CHILD_DEATHS,EVIDENCE,4 Child Deaths + 279 Medical Emergencies,CPS_PIPELINE,"['MERCY-001', 'ENV-001']",['EVIDENCE_OF'],Qui tam filings; MSG:19e58a72739d3470,,CRITICAL,,Hexavalent chromium poisoning at 49x EPA limit; documented in qui tam disclosures May 2026
FUND_IV_E,FEDERAL_PROGRAM,Title IV-E Federal Foster Care Program,CPS_PIPELINE,"['OCSSA', 'MERCY-001']",['FUNDING'],42 USC 671-679b; per-child per-diem reimbursement,,CRITICAL,,OC draws $200M-$300M+/year in IV-E reimbursements at 30K removals/year; potential ghost billing
CASE_ICWA,FRAUD_PATTERN,ICWA-IIM Systematic Fraud Pattern,CPS_PIPELINE,"['OCSSA', 'ICWA-001']",['FRAUD_SCHEME'],25 USC 1901-1963; 18 USC 1163; DOI/BIA OIG complaints filed,,CRITICAL,,"Improper Native child removal + IIM trust fund theft; $200M+ diverted; DOI OIG complaints 2026-04-14, 2026-04-19, 2026-05-08"
ORG_211,NONPROFIT,211 OC / Orange County United Way,CPS_PIPELINE,"['OCSSA', 'MERCY-001', 'ENV-001']",['HMIS_REFERRAL'],HMIS database controller; referral pipeline to Mercy House/HBNC,,HIGH,,Controls HMIS database; routes CPS referrals to shelter system including toxic HBNC site
WEAVER-001,PPP_RECIPIENT,L2T Media LLC (2T Media),ANDREW_DO_WEAVER,"['DO-001', 'WEAVER-003', 'LENDER-JPMC']","['STEERED_GRANT', 'CROSS_STATE_PPP', 'OUT_OF_STATE_HUB']",forensic_layers.ppp_property_bridge / Weaver Audit,1054297.0,HIGH,,Evanston IL advertising → $1.05M PPP via JPMorgan → steered $100K ARPA via GGCF/Tam Nguyen
PROP-004,PROPERTY_SHELL,CP PREMIER CAPITAL LLC (Peter Pham/Cynthia Chau),ANDREW_DO_WEAVER,"['WEAVER-002', 'PROP-CENTER']","['ZERO_TRANSFER', 'FAMILY_SHELL']",rico_evidence_matrix.csv,,MEDIUM,,"Two $0 transfer properties (7100 CERRITOS, 13801 SHIRLEY) from Pham family, mail 2614 Orchard Tustin"
WEAVER-002,PPP_RECIPIENT,Premiere Entertainment Solutions (HB),ANDREW_DO_WEAVER,"['DO-001', 'WEAVER-003', 'PROP-004']","['STEERED_GRANT', 'TET_FESTIVAL']",forensic_layers.ppp_property_bridge / Weaver Audit,41200.0,MEDIUM,,Huntington Beach packaging → $41K PPP → Tet Festival booth sponsorships → Peter Pham/HD Ent
DO-001,PUBLIC_OFFICIAL,Andrew Do (OC Supervisor),ANDREW_DO_WEAVER,"['WEAVER-001', 'WEAVER-002', 'WEAVER-003', 'MERCY-001', 'PROP-004']","['GRANT_STEERING', 'COVID_FRAUD', 'POLITICAL_CORRUPTION']",andrew-do-forensic-audit-phase-1.pdf,,CRITICAL,,"$8M COVID funds embezzlement, $2.2M fraudulent conveyance to Cheri Pham, decade-long alliance with Larry Haynes"
WEAVER-003,GRANT_INTERMEDIARY,Tam Nguyen / Garden Grove Community Foundation,ANDREW_DO_WEAVER,"['DO-001', 'WEAVER-001', 'WEAVER-002', 'PROP-CENTER']","['GRANT_SIGNING', 'PPP_INTERMEDIARY']",Weaver Audit / ppp_rico (7561 Center Ave Ste 45),1997.0,HIGH,,Signed $100K ARPA grant to 2T Media at same office park as DNA Holdings + Brown Hubert NV shell
PROP-CENTER,CONVERGENCE,7561 Center Ave Office Park,CONVERGENCE,"['PROP-005', 'PROP-006', 'WEAVER-003', 'DO-001']","['PHYSICAL_CONVERGENCE', 'SHELL_CLUSTER']",ppp_rico.hb_llcs,,HIGH,,"DNA Holdings $725K (Unit J1), Brown Hubert NV shell (Unit D1, $0), Tam Nguyen PPP (Ste 45)"
PROP-006,PROPERTY_SHELL,BROWN HUBERT LLC (NV shell),CONVERGENCE,"['PROP-CENTER', 'NV-HUB']","['NV_SHELL', 'ZERO_TRANSFER', 'SAME_OFFICE_PARK']","ppp_rico.hb_llcs (7561 Center Ave #D1, $0)",,HIGH,,"PO BOX 531604 HENDERSON NV, CORPORATE CREATIONS NETWORK INC, formed 03/15/2021"
PROP-005,PROPERTY,DYLAN & ANDREW HOLDINGS LLC,CONVERGENCE,['PROP-CENTER'],['OUT_OF_STATE_MAIL'],"ppp_rico.hb_llcs (7561 Center Ave #J1, $725K)",,MEDIUM,,Mail at 15822 GARNET ST WESTMINSTER — purchased 05/2022 at same office park as Tam Nguyen PPP
PROP-007,ENVIRONMENTAL,G&M Oil Co #124 — 17472 Beach Blvd,ENVIRONMENTAL,['ENV-001'],['ADJACENT_UST'],forensic_layers.geotracker_ust,,MEDIUM,,Active UST facility one block from contaminated Navigation Center footprint
ENV-001,ENVIRONMENTAL,HBNC Cr-VI Contamination (49x limit),ENVIRONMENTAL,"['FCA-001', 'FCA-003', 'MERCY-001', 'PROP-007', 'EVID_CHILD_DEATHS', 'ORG_211', 'EVID_CHILD_DEATHS', 'ORG_211']","['TOXIC_SITE', 'CLOSURE_FRAUD']",GeoTracker T10000018579 / HBNC_Formal_Complaint,,CRITICAL,,"17642 Beach Blvd closed as 'paved lot for tents' with ZERO cleanup 08/2020; must be reevaluated for land use change; 4 child deaths, 279 medical emergencies | CPS placement site; hexavalent Cr caused child deaths | CPS placement site; hexavalent Cr caused child deaths"
FCA-001,DOCKET,8:26-cv-00348 (Qui Tam),FCA_QUI_TAM,"['MERCY-001', 'RICO-001', 'WEAVER-003']","['DEFENDANT', 'RICO_PATTERN', 'GRANT_FRAUD']",fca_timeline FCA-HIT-001,,CRITICAL,8:26-cv-00348,"Federal qui tam docket against Mercy House, OC SSA, filed by DiMarcello/Knabb"
FCA-003,MANDATORY_REPORTER,UC System Mandatory Reporter Blast,FCA_QUI_TAM,"['FCA-001', 'ENV-001']",['STATUTORY_NOTICE'],fca_timeline FCA-HIT-011-015,,CRITICAL,8:2026cv00348,"May 6 2026: 6 UC campuses, 5 depts each — W&I 15630, PC 11165.7, RCRA 42 USC 6972"
FCA-004,EPA_NOTICE,EPA OIG Confirmed Receipt,FCA_QUI_TAM,"['FCA-001', 'ENV-001', 'ICWA-001']",['FEDERAL_AGENCY_NOTICE'],fca_timeline FCA-HIT-017,,CRITICAL,,EPA OIG confirmed receipt of IIM tip + qui tam package on 04/14/2026
FCA-002,FCA_NOTICE,DOJ Civil Fraud Unit Notification,FCA_QUI_TAM,"['FCA-001', 'MERCY-001', 'ICWA-001']",['SUPPLEMENTAL_DISCLOSURE'],fca_timeline FCA-HIT-002,,CRITICAL,,RICO Pattern: OC SSA / Mercy House / SPIN / Angulo NPI / ICWA-IIM Fraud
OCSSA,GOVERNMENT_AGENCY,Orange County Social Services Agency,ICWA_IIM,"['ICWA-001', 'FCA-001', 'MERCY-001', 'FUND_IV_E', 'CASE_ICWA', 'ORG_211', 'FUND_IV_E', 'CASE_ICWA', 'ORG_211']",['COMMON_FIDUCIARY'],fca_timeline / gmail_index,,CRITICAL,,Common fiduciary for both IIM trust accounts (Native foster children) and homeless shelter grants (Mercy House) | IV-E billing authority; ICWA-IIM fraud pattern; routes through 211 OC | IV-E billing authority; ICWA-IIM fraud pattern; routes through 211 OC
ICWA-001,TRIBAL_TRUST,ICWA/IIM Trust Fund Abuse ($200M),ICWA_IIM,"['FCA-002', 'FCA-004', 'OCSSA']","['TRUST_MISAPPROPRIATION', 'ICWA_NON_COMPLIANCE']",gmail_index (IIM Account Misappropriation Tip),,CRITICAL,,"OC SSA foster care trustee petitions, $200M IIM trust fund abuse, DOI/EPA/FBI/NARF notified"
NV-HUB,SHELL_FORMATION,Nevada Shell Formation Pipeline,LENDERS,"['PROP-006', 'PROP-CENTER']",['CORPORATE_CREATIONS_NETWORK'],ppp_rico.hb_llcs,,HIGH,,42 NV shells at 3225 MCLEOD DR #777; same formation service used by Brown Hubert at 7561 Center Ave
LENDER-WY,LENDER,Bank of Jackson Hole Trust (WY),LENDERS,['PPP-002'],['RESORT_HOSPITALITY'],ppp_rico,,LOW,,Triumvirate LLC — resort/hospitality banking nexus
LENDER-JPMC,LENDER,JPMorgan Chase Bank,LENDERS,"['WEAVER-001', 'BURNS-001']",['REPEAT_LENDER'],ppp_rico,,LOW,,L2T Media + Burns Entertainment — Evanston IL hub
LENDER-BOA,LENDER,Bank of America NA,LENDERS,['PPP-001'],['REPEAT_LENDER'],ppp_rico,,LOW,,"Stewart Industries — 2 loans, same lender"
MERCY-BOARD,GOVERNANCE,"Mercy House Board (9 members, 5 self-dealing)",MERCY_HOUSE_PPP,"['MERCY-001', 'MERCY-002', 'MERCY-003', 'MERCY-004', 'MERCY-005']","['SELF_DEALING', 'IRC_4941']",meli-document-mercy-house-board-conflicts,6644596.0,CRITICAL,,$6.6M PPP to board-connected vendors + $1.34M to Mercy House = $7.98M total
MERCY-003,PPP_RECIPIENT,Shopoff Realty Investments (Bergman/McCarty),MERCY_HOUSE_PPP,['MERCY-BOARD'],"['BOARD_VENDOR_CONFLICT', 'DUAL_BOARD_SEATS']",ppp_rico.ppp_150k_plus ($2.3M),2315294.0,HIGH,,"Mia Bergman + Natalie McCarty — dual board members, dual PPP, real estate firm on shelter board"
MERCY-002,PPP_RECIPIENT,RBA Builders Inc (Bryan Pavalko),MERCY_HOUSE_PPP,['MERCY-BOARD'],['BOARD_VENDOR_CONFLICT'],ppp_rico.ppp_150k_plus ($2.59M),2590445.0,HIGH,,"Board member Bryan Pavalko — dual PPP ($1.29M x2), construction vendor for Mercy House"
MERCY-001,NONPROFIT,Mercy House Living Centers,MERCY_HOUSE_PPP,"['FCA-001', 'MERCY-002', 'MERCY-003', 'DO-001', 'ENV-001', 'MERCY-BOARD', 'ORG_211', 'FUND_IV_E', 'EVID_CHILD_DEATHS', 'EVID_TRAFFICKING', 'ORG_211', 'FUND_IV_E', 'EVID_CHILD_DEATHS', 'EVID_TRAFFICKING']","['DEFENDANT', 'PPP_RECIPIENT', 'GRANT_RECIPIENT', 'SITE_OPERATOR']",ppp_rico.ppp_150k_plus (1.34M PPP),1339000.0,CRITICAL,,"$54.5M FY2022 revenue, $51M govt grants, CEO Larry Haynes $186K, CMS-992-SHELTER billing fraud | CPS pipeline: receives IV-E funded placements; 4 child deaths; $512M+ COVID fraud | CPS pipeline: receives IV-E funded placements; 4 child deaths; $512M+ COVID fraud"
MERCY-004,PPP_RECIPIENT,Mladen Buntich Construction,MERCY_HOUSE_PPP,['MERCY-BOARD'],['BOARD_VENDOR_CONFLICT'],ppp_rico.ppp_150k_plus ($1.58M),1582217.0,HIGH,,"Board member Mladen Buntich — water/sewer line construction, family holds board + advisory seats"
MERCY-005,PPP_RECIPIENT,Cole Wealth Management (Daryl Cole),MERCY_HOUSE_PPP,['MERCY-BOARD'],"['BOARD_VENDOR_CONFLICT', 'OUT_OF_STATE']",ppp_rico.ppp_150k_plus ($156K),156640.0,MEDIUM,,"Scottsdale AZ — cross-state entity on CA nonprofit board, Exemption 4 status"
PPP-001,PPP_TO_PROPERTY,Stewart Industries LLC,PPP_PROPERTY,"['PROP-001', 'LENDER-BOA']","['CROSS_STATE_PPP', 'POST_PPP_ACQUISITION', 'ZERO_TRANSFER']",forensic_layers.ppp_property_bridge,1128327.5,HIGH,,Battle Creek MI auto body → $1.1M PPP → 3311 BOUNTY CIR HB via $0 family transfer 05/2021
PPP-003,PPP_TO_PROPERTY,DRT Investments LLC,PPP_PROPERTY,"['PROP-003', 'ENV-001']","['CROSS_STATE_PPP', 'BEACH_BLVD_CORRIDOR']",forensic_layers.ppp_property_bridge,24094.0,MEDIUM,,AZ-based PPP → 19900 BEACH BLVD HB — directly on contamination corridor
PPP-002,PPP_TO_PROPERTY,Triumvirate LLC,PPP_PROPERTY,"['PROP-002', 'LENDER-WY']","['CROSS_STATE_PPP', 'POST_PPP_ACQUISITION', 'NAICS_MISMATCH']",forensic_layers.ppp_property_bridge,1471840.0,HIGH,,"Anchorage AK hotels/skiing → $1.47M PPP → 21951 BROOKHURST ST HB $2.8M, lender Jackson WY"
