Source_ID,Source_Name,Target_ID,Target_Name,Relationship_Type,Evidence_Ref,Notes
ADDR-001,ADDR 001,GOV-001,GOV-001,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between ADDR-001 and GOV-001
ADDR-001,ADDR 001,GOV-002,GOV-002,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between ADDR-001 and GOV-002
ADDR-001,ADDR 001,PER-003,PER-003,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between ADDR-001 and PER-003
ADDR-001,ADDR 001,PER-004,PER-004,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between ADDR-001 and PER-004
ADDR-001,ADDR 001,PER-008,PER-008,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between ADDR-001 and PER-008
ADDR-002,ADDR 002,EV-001,EV-001,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between ADDR-002 and EV-001
ADDR-002,ADDR 002,NP-002,NP-002,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between ADDR-002 and NP-002
ADDR-003,ADDR 003,GOV-003,GOV-003,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between ADDR-003 and GOV-003
ADDR-003,ADDR 003,PER-014,PER-014,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between ADDR-003 and PER-014
ADDR-004,ADDR 004,GOV-007,GOV-007,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between ADDR-004 and GOV-007
ADDR-005,ADDR 005,GOV-016,GOV-016,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between ADDR-005 and GOV-016
ADDR-006,ADDR 006,GOV-011,GOV-011,ASSOCIATED_WITH,Knabb v. HB RCRA Complaint,Bidirectional cross-reference between ADDR-006 and GOV-011
ADDR-007,ADDR 007,GOV-009,GOV-009,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between ADDR-007 and GOV-009
ADDR-008,ADDR 008,GOV-008,GOV-008,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between ADDR-008 and GOV-008
ADDR-008,ADDR 008,GOV-017,GOV-017,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between ADDR-008 and GOV-017
ADDR-009,ADDR 009,GOV-012,GOV-012,ASSOCIATED_WITH,Unclaimed Property PDFs,Bidirectional cross-reference between ADDR-009 and GOV-012
ADDR-010,ADDR 010,GOV-013,GOV-013,ASSOCIATED_WITH,RICO Matrix,Bidirectional cross-reference between ADDR-010 and GOV-013
CON-001,HAICK CONSTRUCTION DEVELOPMENT,PER-025,PER-025,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between CON-001 and PER-025
CON-002,UNKNOWN REMEDIATION CONTRACTOR,PER-027,PER-027,ASSOCIATED_WITH,HBNC Toxic Site HTML,Bidirectional cross-reference between CON-002 and PER-027
CON-004,ASL ELECTRIC,PER-029,PER-029,ASSOCIATED_WITH,meli-document-mercy-house-board-conflicts-of-interest (2).docx,Bidirectional cross-reference between CON-004 and PER-029
CON-005,ASL PLUMBING,PER-029,PER-029,ASSOCIATED_WITH,meli-document-mercy-house-board-conflicts-of-interest (2).docx,Bidirectional cross-reference between CON-005 and PER-029
CON-006,RBA BUILDERS,PER-030,PER-030,ASSOCIATED_WITH,meli-document-mercy-house-board-conflicts-of-interest (2).docx,Bidirectional cross-reference between CON-006 and PER-030
CON-007,SHOPOFF REALTY INVESTMENTS,PER-033,PER-033,ASSOCIATED_WITH,meli-document-mercy-house-board-conflicts-of-interest (2).docx,Bidirectional cross-reference between CON-007 and PER-033
CON-007,SHOPOFF REALTY INVESTMENTS,PER-034,PER-034,ASSOCIATED_WITH,meli-document-mercy-house-board-conflicts-of-interest (2).docx,Bidirectional cross-reference between CON-007 and PER-034
CON-008,ADVANCED REAL ESTATE SERVICES,PER-035,PER-035,ASSOCIATED_WITH,meli-document-mercy-house-board-conflicts-of-interest (2).docx,Bidirectional cross-reference between CON-008 and PER-035
CON-009,COLE WEALTH MANAGEMENT,PER-036,PER-036,ASSOCIATED_WITH,meli-document-mercy-house-board-conflicts-of-interest (2).docx,Bidirectional cross-reference between CON-009 and PER-036
CON-010,BUNTICH ENTITIES UNSPECIFIED,PER-031,PER-031,ASSOCIATED_WITH,meli-document-mercy-house-board-conflicts-of-interest (2).docx,Bidirectional cross-reference between CON-010 and PER-031
CON-010,BUNTICH ENTITIES UNSPECIFIED,PER-032,PER-032,ASSOCIATED_WITH,meli-document-mercy-house-board-conflicts-of-interest (2).docx,Bidirectional cross-reference between CON-010 and PER-032
CON-011,BRITECITY,PER-056,PER-056,ASSOCIATED_WITH,OSINT Research,Bidirectional cross-reference between CON-011 and PER-056
EMAIL-001,EMAIL 001,GOV-001,GOV-001,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between EMAIL-001 and GOV-001
EMAIL-001,EMAIL 001,PER-003,PER-003,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between EMAIL-001 and PER-003
EMAIL-002,EMAIL 002,GOV-002,GOV-002,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between EMAIL-002 and GOV-002
EMAIL-002,EMAIL 002,PER-004,PER-004,ASSOCIATED_WITH,Whistleblower Dossier,Bidirectional cross-reference between EMAIL-002 and PER-004
EMAIL-003,EMAIL 003,GOV-001,GOV-001,ASSOCIATED_WITH,RICO Matrix,Bidirectional cross-reference between EMAIL-003 and GOV-001
