target_id,severity,name,card_file
TOX-001,CRITICAL,HBNC Toxic Site,TOX-001.json
TOX-002,HIGH,Cameron Ln Parcel,TOX-002.json
TOX-003,CRITICAL,7561 Center Ave Vaults,TOX-003.json
SINK-001,HIGH,7561 Center Ave Vaults,SINK-001.json
SINK-002,CRITICAL,HBNC Excavation,SINK-002.json
SINK-003,MEDIUM,El Toro Hangars,SINK-003.json
SINK-004,CRITICAL,Stormtech Chamber Field,SINK-004.json
BH-001,HIGH,Newport Shell Cluster,BH-001.json
BH-002,HIGH,Pham Quitclaim Nexus,BH-002.json
BH-003,MEDIUM,Garnet St Routing,BH-003.json
BH-004,HIGH,PCH CMRA,BH-004.json
LLC-001,HIGH,Triumvirate LLC,LLC-001.json
LLC-002,HIGH,Stewart Industrial,LLC-002.json
LLC-003,HIGH,CP Premier 1,LLC-003.json
LLC-004,HIGH,CP Premier 2,LLC-004.json
LLC-005,MEDIUM,Garnet Drop,LLC-005.json
LLC-006,MEDIUM,Newport LLC Cluster,LLC-006.json
LLC-007,MEDIUM,Pham Residence,LLC-007.json
LLC-008,MEDIUM,Stewart PPP,LLC-008.json
LLC-009,MEDIUM,Triumvirate PPP,LLC-009.json
LLC-010,HIGH,ONNI HB LLC,LLC-010.json
LLC-011,HIGH,Corte Bella TruAmerica,LLC-011.json
LLC-012,HIGH,Sendero Riverbend,LLC-012.json
LLC-013,HIGH,SCG Edinger Plaza,LLC-013.json
FCA-HIT-001,CRITICAL,USDC CD CA — Knabb v. HB RICO / Qui Tam coordination,FCA-HIT-001.json
FCA-HIT-007,CRITICAL,USDC CD CA LA — EPA OIG referral,FCA-HIT-007.json
FCA-HIT-012,HIGH,DOJ Civil Division — qui tam notice,FCA-HIT-012.json
FCA-HIT-019,CRITICAL,Qui Tam complaint under seal,FCA-HIT-019.json
FCA-HIT-024,HIGH,Relator disclosure served,FCA-HIT-024.json
CPS-001,CRITICAL,HBNC Child Deaths,CPS-001.json
CPS-002,HIGH,OC DA Block,CPS-002.json
CPS-003,HIGH,HB City Hall,CPS-003.json
CPS-004,HIGH,Anaheim CPS Hub,CPS-004.json
CPS-005,HIGH,LA County IV-E,CPS-005.json
PROC-001,MEDIUM,OC Sheriff Body Cams,PROC-001.json
PROC-002,MEDIUM,County IT Security,PROC-002.json
PROC-003,MEDIUM,HB Coastal Infrastructure,PROC-003.json
PROC-004,INFO,Anaheim Housing RFQ,PROC-004.json
PROC-005,CRITICAL,HBNC 155M Remediation,PROC-005.json
I-405_FREEWAY_CORRIDOR,INFO,I-405 Freeway Corridor,I-405_FREEWAY_CORRIDOR.json
PACIFIC_COAST_HWY_(PCH),INFO,Pacific Coast Hwy (PCH),PACIFIC_COAST_HWY_(PCH).json
BEACH_BOULEVARD,INFO,Beach Boulevard,BEACH_BOULEVARD.json
HDPE_STORMTECH_CHAMBERS,CRITICAL,HDPE Stormtech Chambers,HDPE_STORMTECH_CHAMBERS.json
PLUME-001,HIGH,Cr-VI plume vector 1,PLUME-001.json
PLUME-002,HIGH,Cr-VI plume vector 2,PLUME-002.json
PLUME-003,HIGH,Cr-VI plume vector 3,PLUME-003.json
PLUME-004,HIGH,Cr-VI plume vector 4,PLUME-004.json
PLUME-005,HIGH,Cr-VI plume vector 5,PLUME-005.json
PLUME-006,HIGH,Cr-VI plume vector 6,PLUME-006.json
PLUME-007,HIGH,Cr-VI plume vector 7,PLUME-007.json
PLUME-008,HIGH,Cr-VI plume vector 8,PLUME-008.json
PLUME-009,HIGH,Cr-VI plume vector 9,PLUME-009.json
PLUME-010,HIGH,Cr-VI plume vector 10,PLUME-010.json
PLUME-011,HIGH,Cr-VI plume vector 11,PLUME-011.json
PLUME-012,HIGH,Cr-VI plume vector 12,PLUME-012.json
