DATE,EVENT,PARTIES,EVIDENCE_ID,NOTES,RICO_CONNECTION
1908-01-01T00:00:00+00:00,Property Acquisition,Rev. Terasawa / Charles Furuta,EV-031,Original land purchase before Alien Land Laws.,Foundation
1912-02-01T00:00:00+00:00,Title Transfer,Charles Furuta,EV-031,5-acre deeded to Furuta; northwest corner for Mission.,Ownership
1917-01-01T00:00:00+00:00,Goldfish Farm Established,C.M. Furuta / Henry Akiyama,EV-031,First commercial goldfish farm in HB; later water lilies.,Economic
1942-02-19T00:00:00+00:00,Executive Order 9066,Furuta / Masuda Families,NARA Records,Forced removal of Japanese families from Wintersburg.,Extraction
1942-04-01T00:00:00+00:00,Arrest & Detainment,Charles Furuta,WRA Records,"Detained at Tuna Canyon, then Lordsburg, NM.",Internment
1942-05-01T00:00:00+00:00,Evacuation,Yukiko Furuta & children,WRA Records,"Evacuated to Poston, AZ.",Internment
1942-10-01T00:00:00+00:00,Masuda Family Internment,Masuda Family,WRA Records,"Sent to Gila River, AZ.",Internment
1945-09-01T00:00:00+00:00,Return to Wintersburg,Furuta Family,Historical Narrative,Returned to find goldfish dead; switched to water lilies.,Resilience
1982-01-01T00:00:00+00:00,Sister City Established,"HB / Anjo, Japan",HBSCA Records,"Formal partnership with Anjo, Japan.",Cultural
1983-01-01T00:00:00+00:00,National Register Eligibility,Wintersburg Site,National Register PDF,Site noted as eligible; Good Neighbor connection explored.,Policy
2004-01-01T00:00:00+00:00,Property Sale,Furuta Descendants,Deed Records,Land sold; preservation battle begins.,Asset
2020-02-18T00:00:00+00:00,LMIHAF Acquisition,City of HB / Yamada Family,EV-037,City buys land from Yamadas using housing funds.,Diversion
2020-04-01T00:00:00+00:00,Toxic Discovery,State Water Board,EV-028,Cr-VI found at 49x legal limit during testing.,Breach
2022-02-25T00:00:00+00:00,Fire & Demolition,Wintersburg Buildings,Fire Dept Report,Arson investigation pending; site cleared quickly.,Concealment
2026-04-10T00:00:00+00:00,Digital Sanitization,User: NUWEYT,EV-033,Parcel records edited post-whistleblower activity.,Scrubbing
2020-03-18T00:00:00+00:00,Owner Refusal of Historic Status,Republic Services,National Register PDF,Republic Services (waste mgmt) refuses National Register listing.,Concealment
2026-06-28T00:00:00+00:00,7th Amendment Theory,Anthony DiMarcello,Relator Testimony,Right to move violated by Good Neighbor policy on stolen land.,Legal Strategy
