Timestamp,Entity Name,Correlation Type,Confidence Score,Reasoning
2026-09-14T20:31:07.532513,amd949609@gmail.com,Hijack / Spam Botnet,100%,"Account was hijacked by a crypto spam bot sending 7,743 emails. Password changed."
2026-09-14T23:52:22.427920+00:00,Orange County Health Care Agency (OCHCA),Subject Entity / Municipal Oversight Failure,0.94,Identified through news events regarding OC health officials dismissing documented conflict warnings tied directly to public health contract awards.
2026-09-14T23:52:22.427920+00:00,Docket 8:2026-cv-00348 (C.D. Cal.),Litigation Nexus / Enforcement Action,0.88,Jurisdictionally aligned (Santa Ana/Orange County division) federal action tracking the timeline and financial scope of the $10.4M COVID relief allocation dispute.
2026-09-14T23:52:22.427920+00:00,U.S. Department of Justice (DOJ) - COVID-19 Fraud Enforcement Task Force,Potential Regulatory Prosecutor,0.82,Federal jurisdiction applies to the diversion of federal pandemic relief allocations exceeding the statutory threshold under False Claims Act provisions.
2026-09-14T23:52:22.427920+00:00,$10.4M Pandemic Relief Allocation Recipients,Target Entity / Unjust Enrichment Risk,0.91,Vendors and subrecipients associated with diverted contract flows that bypassed standard competitive bidding and conflict-of-interest vetting.
2026-09-15T00:00:58.451281+00:00,Orange County Health Care Agency (OCHCA) Officials,CONFLICT_OF_INTEREST_OVERRIDE,0.94,Direct reporting indicates agency leadership dismissed documented ethics and conflict-of-interest warnings to facilitate $10.4M in irregular public health awards.
2026-09-15T00:00:58.451281+00:00,Docket 8:2026-cv-00348 (C.D. Cal.),CIVIL_ENFORCEMENT_LITIGATION,0.91,Federal civil docket filed in the Central District of California corresponding with municipal pandemic relief diversion and potential False Claims Act (qui tam) relator claims.
2026-09-15T00:00:58.451281+00:00,COVID-19 Relief Fund Emergency Contracts ($10.4M Segment),FEDERAL_FUNDS_DIVERSION,0.88,Identified as the primary financial anomaly subject to diversion through sole-source procurement and bypassed sub-recipient monitoring under 2 CFR 200.
2026-09-16T01:03:27.921558+00:00,Orange County Health Officials,Institutional Integrity Deficit / Conflict Negligence,0.95,Explicitly referenced in news intelligence as ignoring internal conflict warnings regarding high-value relief contracts.
2026-09-16T01:03:27.921558+00:00,Docket 8:2026-cv-00348,Enforcement Action / Qui Tam Litigation Asset,0.92,Civil docket correlating with the location (Central District of California - OC) and timing of the $10.4M contract diversion investigation.
2026-09-16T01:03:27.921558+00:00,$10.4M COVID-19 Relief Fund Pool,Diverted Financial Instrument / Grant Fraud Asset,0.98,High-risk financial anomaly representing misappropriated public grant funds allocated under pandemic relief programs.
2026-09-16T03:52:57.182237+00:00,Orange County Health Care Officials,Governance & Oversight Failure,0.95,Documented refusal to act on internal conflict-of-interest warnings regarding municipal health allocations.
2026-09-16T03:52:57.182237+00:00,Docket 8:2026-cv-00348,Active Enforcement / Federal Civil Litigation,0.92,Federal docket matching the jurisdiction (Central District of California) and timeframe of the $10.4M COVID-19 relief contract dispute.
2026-09-16T03:52:57.182237+00:00,$10.4M COVID-19 Relief Fund Allocation,Financial Anomaly / Fund Diversion,0.89,Anomalous movement of emergency relief funds linked to unaddressed procurement conflict warnings.
2026-09-16T04:05:50.271462+00:00,Orange County Health Officials,Public Corruption / Conflict of Interest,0.95,Identified in news events as waving off conflict-of-interest warnings related to non-competitive local health contract awards.
2026-09-16T04:05:50.271462+00:00,Case No. 8:2026-cv-00348,Federal Civil Litigation / Procurement Fraud,0.92,Recent court docket associated with municipal contract fraud investigations and related SEC oversight filings.
2026-09-16T04:05:50.271462+00:00,$10.4M COVID-19 Relief Fund Pool,Financial Anomaly / Asset Diversion,0.98,Anomalous fund diversion flagged in raw data across 14 municipal procurement contracts awarded during emergency response.
2026-09-16T06:02:21.691273+00:00,Orange County Health Care Agency (OCHCA),Primary Target / Entity Under Investigation,0.95,Directly named as the agency where officials ignored conflict of interest warnings and facilitated the diversion of $10.4M in relief contracts.
2026-09-16T06:02:21.691273+00:00,"U.S. District Court, Central District of California",Judicial Venue,0.98,Venue housing docket 8:2026-cv-00348 associated with the unsealed federal civil false claims filing.
2026-09-16T06:02:21.691273+00:00,U.S. Department of Health and Human Services Office of Inspector General (HHS-OIG),Investigative Regulatory Authority,0.91,Federal oversight authority responsible for investigating misuses of ARPA and CARES Act public health grant allocations.
2026-09-16T14:23:38.354506+00:00,Orange County Health Care Agency,Primary Subject / Investigated Entity,0.95,Directly linked to the news event detailing health officials waving off conflict warnings and the misallocation of $10.4M in COVID-19 relief contracts.
2026-09-16T14:23:38.354506+00:00,Docket 8:2026-cv-00348 (C.D. Cal.),Legal Proceeding / Judicial Record,0.98,Central District of California civil docket corresponding directly to the unsealed False Claims Act litigation regarding county health contract steering.
2026-09-16T14:23:38.354506+00:00,$10.4M COVID-19 Relief Fund Steering,Financial Anomaly / Misappropriation Scheme,0.92,Identified financial anomaly representing federal grant passthrough funds diverted through unmonitored vendor contracts despite internal ethics warnings.
