Category,Asset_Name,Target_Identifier,Status,Path_Or_URL,Description
GitHub Repo,OsintNeoAi,Tonypost949/OsintNeoAi,ACTIVE,https://github.com/Tonypost949/OsintNeoAi,Master evidence clearinghouse & BigQuery ingestion repository
GitHub Repo,OsintNeoAiXXXL,Tonypost949/OsintNeoAiXXXL,ACTIVE,https://github.com/Tonypost949/OsintNeoAiXXXL,Real-time threat intelligence & network attack pattern dashboard
GitHub Repo,OSINTNeoAiXL,Tonypost949/OSINTNeoAiXL,ACTIVE,https://github.com/Tonypost949/OSINTNeoAiXL,Extended OSINT analysis pipeline
GitHub Repo,OSINTNeoAiCLI,Tonypost949/OSINTNeoAiCLI,ACTIVE,https://github.com/Tonypost949/OSINTNeoAiCLI,Command-line interface tool for OSINT workflows
GitHub Repo,osint-agent,Tonypost949/osint-agent,ACTIVE,https://github.com/Tonypost949/osint-agent,Autonomous agent for OSINT investigations
GitHub Repo,osint_analyzer,Tonypost949/osint_analyzer,ACTIVE,https://github.com/Tonypost949/osint_analyzer,Entity extraction & visual network graph web app
GitHub Repo,OsintNeoAiReplit,Tonypost949/OsintNeoAiReplit,ACTIVE,https://github.com/Tonypost949/OsintNeoAiReplit,Replit cloud workspace deployment
GitHub Repo,OsintNeoAi52026,Tonypost949/OsintNeoAi52026,ACTIVE,https://github.com/Tonypost949/OsintNeoAi52026,OSINT investigation release iteration
GitHub Repo,Osint-Arte-Ai,Tonypost949/Osint-Arte-Ai,ACTIVE,https://github.com/Tonypost949/Osint-Arte-Ai,Visual & creative OSINT intelligence
GitHub Repo,vertex-ai-creative-studio,Tonypost949/vertex-ai-creative-studio,ACTIVE,https://github.com/Tonypost949/vertex-ai-creative-studio,Vertex AI generative media studio (Gemini, Veo, TTS, Chirp 3, Lyria)
GitHub Repo,ai-agents-for-beginners,Tonypost949/ai-agents-for-beginners,ACTIVE,https://github.com/Tonypost949/ai-agents-for-beginners,18-lesson agentic AI framework (Fork)
GitHub Repo,civil-rights-activist-emailer,Tonypost949/civil-rights-activist-emailer,ACTIVE,https://github.com/Tonypost949/civil-rights-activist-emailer,Civil rights & authority abuse reporting tool
GitHub Repo,NPI---Non-Profiteers-Index,Tonypost949/NPI---Non-Profiteers-Index,ACTIVE,https://github.com/Tonypost949/NPI---Non-Profiteers-Index,Non-Profiteers Index Calculator
GitHub Repo,riconow,Tonypost949/riconow,ACTIVE,https://github.com/Tonypost949/riconow,RICO network correlation & running analysis engine
GitHub Repo,landgrabpro,Tonypost949/landgrabpro,ACTIVE,https://github.com/Tonypost949/landgrabpro,Municipal land & real estate transaction audit tool
GitHub Repo,landgrabpro2,Tonypost949/landgrabpro2,ACTIVE,https://github.com/Tonypost949/landgrabpro2,Extended municipal property audit engine
GitHub Repo,landgrabpromo,Tonypost949/landgrabpromo,ACTIVE,https://github.com/Tonypost949/landgrabpromo,Promotional portal for municipal land audit
GitHub Repo,social-media-campaign-manager,Tonypost949/social-media-campaign-manager,ACTIVE,https://github.com/Tonypost949/social-media-campaign-manager,Social media analytics & campaign manager
GitHub Repo,AGcliontermux,Tonypost949/AGcliontermux,PRIVATE,https://github.com/Tonypost949/AGcliontermux,Mobile & Termux deployment setup
GitHub Repo,demo-api-scalar-galaxy-docs,Tonypost949/demo-api-scalar-galaxy-docs,PRIVATE,https://github.com/Tonypost949/demo-api-scalar-galaxy-docs,Scalar Galaxy API documentation
GitHub Repo,Tonypost949.github.io,Tonypost949/Tonypost949.github.io,ACTIVE,https://Tonypost949.github.io/OsintNeoAi/,GitHub Pages master web dashboard deployment
GitHub Repo,altwarp,Tonypost949/altwarp,ACTIVE,https://github.com/Tonypost949/altwarp,Alternative network warping utility
BigQuery Table,takeout_documents,noble-beanbag-497411-m4.national_audits.takeout_documents,LIVE,BigQuery,1142 ingested files (201.3 MB) extracted text & tables
BigQuery Table,takeout_chrome_history,noble-beanbag-497411-m4.national_audits.takeout_chrome_history,LIVE,BigQuery,1340 Chrome timeline browser history records
BigQuery Table,ppp_target_addresses,noble-beanbag-497411-m4.national_audits.ppp_target_addresses,LIVE,BigQuery,Mercy House & PPP target address verification matrix
BigQuery Table,regional_llcs_summary,noble-beanbag-497411-m4.national_audits.regional_llcs_summary,LIVE,BigQuery,Shell LLC corporate entity cross-reference dataset
BigQuery Table,entity_nodes,noble-beanbag-497411-m4.national_audits.entity_nodes,LIVE,BigQuery,Graph node entity definitions
BigQuery Table,entity_edges,noble-beanbag-497411-m4.national_audits.entity_edges,LIVE,BigQuery,Graph edge relationship definitions
Audit Report,Forensic Audit Report,Municipal Reconnaissance,LIVE,https://github.com/Tonypost949/OsintNeoAi/blob/main/FORENSIC_AUDIT_REPORT.md,438 exposed endpoints & 23 critical vulnerabilities (Scottsdale origin 208.109.36.19)
Audit Report,Dehashed HBPD Scan,Breach Analysis,LIVE,https://github.com/Tonypost949/OsintNeoAi/blob/main/DEHASHED_HBPD_SCAN_REPORT.md,400 compromised employee listings & login credentials
Audit Report,HBPD Port Scan,Network Security,LIVE,https://github.com/Tonypost949/OsintNeoAi/blob/main/HBPD_PORT_SCAN_REPORT.md,41 open TCP ports on hbpd.org (RPC/SMB, LDAP, SQL ports)
Entity Record,15 SWIFT LLC,CA File #201415510595,ACTIVE,https://github.com/Tonypost949/OsintNeoAi/blob/main/15_SWIFT_LLC_OWNERSHIP_FINDINGS.md,Agent Thanh Nguyen co-indicted with fugitive Peter Anh Pham in COVID fraud
